id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Blockprint,hip hop,confident,0.80,95,0.62,0.85,0.08
12,Elegy in Grey,The Hollow Strings,classical,melancholy,0.22,66,0.25,0.20,0.95
13,Neon Overdrive,Pulsewave,edm,euphoric,0.95,128,0.88,0.92,0.03
14,Iron Verdict,Ashfall,metal,aggressive,0.97,160,0.30,0.45,0.04
15,Dust and Pine,River Colby,folk,nostalgic,0.38,96,0.55,0.40,0.88
16,Velvet Hours,Soraya Lane,r&b,romantic,0.50,88,0.68,0.72,0.35
17,Backroad Goodbye,Marlowe Creek,country,wistful,0.45,100,0.52,0.55,0.62
18,Island Time,Sunwave Collective,reggae,uplifting,0.60,92,0.80,0.78,0.30
19,Three A.M. Blues,Deltona Hart,blues,sad,0.40,76,0.28,0.42,0.70